id,question
b420e109-aaf2-45cc-8a61-b6bc8fc894d9,What are the penalties for individuals who violate smoking regulations intended to protect the public from tobacco products?
b420e109-aaf2-45cc-8a61-b6bc8fc894d9,How much is the fine for legal entities that fail to comply with the rules regarding designated smoking areas?
b420e109-aaf2-45cc-8a61-b6bc8fc894d9,What specific actions are considered violations of the tobacco-related public health regulations as outlined in the legislation?
f50238b0-f986-4d21-9074-da3b56200c6f,What types of crimes are classified based on their severity in the law?
f50238b0-f986-4d21-9074-da3b56200c6f,How is the severity of a crime determined according to the legislation?
f50238b0-f986-4d21-9074-da3b56200c6f,What distinguishes a less serious crime from a serious crime under this classification system?
e009ef8f-2410-409a-9a35-a15c3d850298,How does the legal system ensure fairness between the parties in civil cases?
e009ef8f-2410-409a-9a35-a15c3d850298,What role does the court play in guiding the civil process according to the law?
e009ef8f-2410-409a-9a35-a15c3d850298,In what ways does the court facilitate the examination of evidence and application of legislation in civil matters?
74688912-792b-4de9-966a-ee2c76d91006,What can a lender demand if the borrower fails to meet their obligations under the loan agreement?
74688912-792b-4de9-966a-ee2c76d91006,What happens if the borrower loses the collateral or its condition worsens due to circumstances beyond the lender's control?
74688912-792b-4de9-966a-ee2c76d91006,Are there any exceptions to the lender's right to demand early repayment and interest if specified in the loan agreement?
b7a4de9e-8f89-4cee-9097-c54fe85dd4aa,What is the initial step a investigator takes after a criminal case is officially opened?
b7a4de9e-8f89-4cee-9097-c54fe85dd4aa,How can a prosecutor be involved after the initiation of a criminal case?
b7a4de9e-8f89-4cee-9097-c54fe85dd4aa,What are the options available to a prosecutor once a decision to initiate a criminal case is made?
1fd5a716-44e5-420a-9121-eb5db528858e,What constitutes a contract according to the law?
1fd5a716-44e5-420a-9121-eb5db528858e,How are obligations arising from contracts treated within the legal framework?
1fd5a716-44e5-420a-9121-eb5db528858e,Are there specific provisions for multilateral agreements in relation to standard contract regulations?
dc43e12f-20a1-40e0-95df-5b7f41c56083,What rights does a creditor have if the borrower fails to fulfill their obligation secured by collateral?
